Id,CaptureTime,ServerName,InstanceName,CpuPercent,BatchRequestsPerSec,UserConnections,BlockedSessions,DeadlocksPerMin,AvgQueryDurationMs,AvgLogicalReads,TempdbUsedMb,SignalWaitTimeMs,PageLifeExpectancy,hour,day_of_week,is_weekend,CpuPercent_diff,BatchRequestsPerSec_diff,UserConnections_diff,BlockedSessions_diff,DeadlocksPerMin_diff,AvgQueryDurationMs_diff,AvgLogicalReads_diff,TempdbUsedMb_diff,SignalWaitTimeMs_diff,PageLifeExpectancy_diff,CpuPercent_rolling_mean_3,CpuPercent_rolling_std_3,BatchRequestsPerSec_rolling_mean_3,BatchRequestsPerSec_rolling_std_3,AvgQueryDurationMs_rolling_mean_3,AvgQueryDurationMs_rolling_std_3,AvgLogicalReads_rolling_mean_3,AvgLogicalReads_rolling_std_3,TempdbUsedMb_rolling_mean_3,TempdbUsedMb_rolling_std_3,SignalWaitTimeMs_rolling_mean_3,SignalWaitTimeMs_rolling_std_3,PageLifeExpectancy_rolling_mean_3,PageLifeExpectancy_rolling_std_3,duration_per_batch,reads_per_batch,signal_wait_per_connection,AnomalyFlag,AnomalyScore
3,2026-03-28 23:32:17,deweloper,MSSQLSERVER,0.0,12903.0,10,0,0,55.59,5953.07,8.0,184459994.0,1184,23,5,1,0.0,177.0,-2.0,0.0,0.0,-13.009999999999993,-654.8100000000004,0.0,731620.0,362.0,8.333333333333334,14.433756729740644,8584.666666666666,7326.820752095232,47.39666666666667,26.276187572274125,4266.983333333334,3502.8046062024832,176.0,290.9845356715714,122729457.33333331,106287453.88605484,1268.6666666666667,494.4667161026446,0.0043083003952569,0.4613709989924823,18445999.4,1,0.7653339448183526
16,2026-03-29 00:13:44,deweloper,MSSQLSERVER,0.0,13819.0,6,0,0,7.46,232.8,8.0,189490256.0,3672,0,6,1,0.0,600.0,-2.0,0.0,0.0,-47.21,-5115.349999999999,0.0,4776906.0,2357.0,0.0,0.0,13413.333333333334,351.42045093212874,38.93333333333333,27.25670620844224,3643.05,2953.3631333616927,8.0,0.0,186303922.3333333,2759447.1199739114,2099.6666666666665,1361.6814360684125,0.0005398364570518,0.0168463709385628,31581709.33333333,1,0.7180533612498534
14,2026-03-28 23:34:25,deweloper,MSSQLSERVER,0.0,13202.0,8,0,0,54.67,5348.2,8.0,184708161.0,1312,23,5,1,0.0,129.0,-2.0,0.0,0.0,0.0,-519.6199999999999,0.0,232919.0,111.0,0.0,0.0,13110.333333333334,79.83942217564471,54.673333333333325,0.0057735026918986,5694.639999999999,300.02584355351826,8.0,0.0,184552881.0,134476.4247108215,1237.3333333333333,64.67096205665509,0.0041410392364793,0.4051052870777155,23088520.125,1,0.7036237729845903
395,2026-03-29 08:47:47,deweloper,MSSQLSERVER,0.0,21031.0,8,0,0,162.82,1601.67,8.0,245129350.0,30915,8,6,1,0.0,138.0,2.0,0.0,0.0,136.51999999999998,1402.38,0.0,151596.0,63.0,0.0,0.0,20932.0,86.37708029337134,66.12666666666665,84.17120014193293,677.92,800.166405755703,8.0,0.0,244993410.66666663,128826.5373725263,30852.666666666668,62.0026881137885,0.0077419048071893,0.0761575769102753,30641168.75,1,0.6925722701488739
8,2026-03-28 23:32:27,deweloper,MSSQLSERVER,2.5,12988.0,10,0,0,55.47,5950.97,8.0,184470221.0,1194,23,5,1,2.5,17.0,0.0,0.0,0.0,-0.009999999999998,-0.2100000000000363,0.0,5015.0,2.0,0.8333333333333334,1.4433756729740643,12971.0,17.000000000221704,55.48333333333333,0.0152752523107364,5951.200000000001,0.2406241895597302,8.0,0.0,184466877.3333333,2895.700664548118,1192.3333333333333,1.5275252316469787,0.0042708654142285,0.4581898675700647,18447022.1,1,0.6835096354686881
435,2026-03-29 09:28:58,deweloper,MSSQLSERVER,0.0,23041.0,5,0,0,346.85,44.33,8.0,250193996.0,33385,9,6,1,0.0,17.0,0.0,0.0,0.0,326.95000000000005,-188.47000000000003,0.0,140028.0,62.0,0.0,0.0,23024.0,17.000000000178233,125.24333333333334,191.99465522074652,169.97666666666666,108.81320523416878,8.0,0.0,250057454.66666663,134831.81538276735,33322.333333333336,63.00264544712663,0.0150536001041621,0.0019239616336096,50038799.2,1,0.6729175789898866
9,2026-03-28 23:32:28,deweloper,MSSQLSERVER,0.0,13005.0,10,0,0,54.7,5868.24,8.0,184470227.0,1195,23,5,1,-2.5,17.0,0.0,0.0,0.0,-0.769999999999996,-82.73000000000047,0.0,6.0,1.0,0.8333333333333334,1.4433756729740643,12988.0,17.000000000221704,55.21666666666666,0.4474743940530578,5923.463333333333,47.82492481263234,8.0,0.0,184468551.3333333,2897.145550130243,1193.6666666666667,1.5275252316469787,0.0042060745866974,0.4512295271049596,18447022.7,1,0.6720321109898704
15,2026-03-28 23:34:28,deweloper,MSSQLSERVER,0.0,13219.0,8,0,0,54.67,5348.15,8.0,184713350.0,1315,23,5,1,0.0,17.0,0.0,0.0,0.0,0.0,-0.0500000000001819,0.0,5189.0,3.0,0.0,0.0,13164.666666666666,79.83942217564471,54.67,9.424249928632102e-09,5521.389999999999,300.01718167465026,8.0,0.0,184632251.0,135998.53305460775,1276.0,64.96922348312307,0.0041357137453665,0.4045805280278386,23089168.75,1,0.658935956483141
471,2026-03-29 10:05:45,deweloper,MSSQLSERVER,7.5,24185.0,5,0,0,0.12,0.0,8.0,254814052.0,35592,10,6,1,7.5,17.0,0.0,0.0,0.0,-9.32,-232.8,0.0,150497.0,63.0,2.5,4.330127018922194,24168.0,17.000000000178048,9.21,8.97721003430372,155.20000000000002,134.40714266734489,8.0,0.0,254671308.66666663,139028.75362463735,35529.333333333336,62.500666663133416,4.961753152780649e-06,0.0,50962810.4,1,0.6586387592548459
43,2026-03-29 00:41:13,deweloper,MSSQLSERVER,0.0,14430.0,7,0,0,79.98,1517.53,8.0,192805307.0,5320,0,6,1,0.0,147.0,2.0,0.0,0.0,70.91,1284.73,0.0,123045.0,61.0,0.0,0.0,14326.333333333334,90.17945072654204,32.31666666666666,41.28180268996661,661.0433333333334,741.739211335988,8.0,0.0,192682389.3333333,122854.04949906871,5259.0,60.99999999999987,0.0055426195426195,0.1051649341649341,27543615.285714287,1,0.6557884595512384
4,2026-03-28 23:32:20,deweloper,MSSQLSERVER,0.0,12920.0,10,0,0,55.53,5952.31,8.0,184460192.0,1187,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.0600000000000022,-0.7599999999993088,0.0,198.0,3.0,0.0,0.0,12849.666666666666,107.43525181866896,59.906666666666666,7.528707281687414,6171.086666666667,378.274313737179,8.0,0.0,184216186.66666663,422458.1732234981,1064.3333333333333,209.87218332435904,0.004297987616099,0.4607051083591331,18446019.2,1,0.6527392397724057
10,2026-03-28 23:32:30,deweloper,MSSQLSERVER,0.0,13022.0,10,0,0,54.69,5868.11,8.0,184470228.0,1197,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.0100000000000051,-0.1300000000001091,0.0,1.0,2.0,0.8333333333333334,1.4433756729740643,13005.0,17.000000000221704,54.95333333333334,0.4474743940530551,5895.7733333333335,47.80175973051522,8.0,0.0,184470225.3333333,4.042105209344606,1195.3333333333333,1.5275252316469787,0.0041998156965135,0.4506304715097527,18447022.8,1,0.6340963909937755
5,2026-03-28 23:32:22,deweloper,MSSQLSERVER,0.0,12937.0,10,0,0,55.52,5951.8,8.0,184465203.0,1189,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.009999999999998,-0.5100000000002183,0.0,5011.0,2.0,0.0,0.0,12920.0,17.000000000221704,55.546666666666674,0.0378593889696741,5952.393333333333,0.6390878921828367,8.0,0.0,184461796.3333333,2951.920788019232,1186.6666666666667,2.516611478420613,0.0042915668238386,0.4600602921852052,18446520.3,1,0.6339201357750078
7,2026-03-28 23:32:25,deweloper,MSSQLSERVER,0.0,12971.0,10,0,0,55.48,5951.18,8.0,184465206.0,1192,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.0200000000000031,-0.269999999999527,0.0,1.0,1.0,0.0,0.0,12954.0,17.000000000221704,55.5,0.0199999999955883,5951.4766666666665,0.3108590258219136,8.0,0.0,184465204.66666663,2.082952066740574,1190.6666666666667,1.5275252316469787,0.0042772338293115,0.4588065684989592,18446520.6,1,0.6256934670700758
12,2026-03-28 23:32:32,deweloper,MSSQLSERVER,0.0,13056.0,10,0,0,54.68,5867.9,8.0,184475240.0,1199,23,5,1,0.0,17.0,0.0,0.0,0.0,0.0,-0.1000000000003638,0.0,5002.0,1.0,0.0,0.0,13039.0,17.000000000221704,54.68333333333334,0.0057735026755772,5868.003333333334,0.1050396774542355,8.0,0.0,184471902.0,2890.797468741309,1198.0,0.999999999992364,0.004188112745098,0.4494408700980392,18447524.0,1,0.6252421922468493
6,2026-03-28 23:32:24,deweloper,MSSQLSERVER,0.0,12954.0,10,0,0,55.5,5951.45,8.0,184465205.0,1191,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.0200000000000031,-0.3500000000003638,0.0,2.0,2.0,0.0,0.0,12937.0,17.000000000221704,55.51666666666667,0.0152752523107426,5951.853333333333,0.432473506628193,8.0,0.0,184463533.3333333,2893.68006847927,1189.0,1.9999999999962248,0.004284390921723,0.4594295198394318,18446520.5,1,0.6231794505493448
13,2026-03-28 23:32:34,deweloper,MSSQLSERVER,0.0,13073.0,10,0,0,54.67,5867.82,8.0,184475242.0,1201,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.009999999999998,-0.0799999999999272,0.0,2.0,2.0,0.0,0.0,13056.0,17.000000000221704,54.67666666666667,0.0057735026918961,5867.906666666667,0.0901849978628082,8.0,0.0,184473573.3333333,2888.4839169713337,1199.3333333333333,1.5275252316469787,0.0041819016293123,0.4488503021494683,18447524.2,1,0.6198362340169735
11,2026-03-28 23:32:31,deweloper,MSSQLSERVER,0.0,13039.0,10,0,0,54.68,5868.0,8.0,184470238.0,1198,23,5,1,0.0,17.0,0.0,0.0,0.0,-0.009999999999998,-0.1099999999996725,0.0,10.0,1.0,0.0,0.0,13022.0,17.000000000221704,54.69,0.0099999999905827,5868.116666666666,0.1201388107147046,8.0,0.0,184470231.0,6.245420815108588,1196.6666666666667,1.5275252316469787,0.0041935731267735,0.4500345118490682,18447023.8,1,0.6176118230102661
